"game","team","time","pfval"
1,"team1","2021-01-01",1
1,"team1","2021-02-01",1.00893521591042
1,"team1","2021-03-01",1.03928481953132
1,"team1","2021-04-01",1.02788551448901
1,"team1","2021-05-01",1.04970888138953
1,"team1","2021-06-01",1.02448903409474
1,"team1","2021-07-01",1.04708129843524
1,"team1","2021-08-01",1.08740378084174
1,"team1","2021-09-01",1.09087770323613
1,"team1","2021-10-01",1.14502533043931
1,"team1","2021-11-01",1.11288037236622
1,"team1","2021-12-01",1.08025346077566
1,"team1","2022-01-01",1.11699472486996
1,"team1","2022-02-01",1.12864803052076
1,"team1","2022-03-01",1.17662703135907
1,"team1","2022-04-01",1.18154774706536
1,"team1","2022-05-01",1.16635027027687
1,"team1","2022-06-01",1.2060177936413
1,"team1","2022-07-01",1.22735804619757
1,"team1","2022-08-01",1.28243789756996
1,"team1","2022-09-01",1.29647351845472
1,"team1","2022-10-01",1.29435367541383
1,"team1","2022-11-01",1.263249917015
1,"team1","2022-12-01",1.27892175402814
1,"team1","2023-01-01",1.32855718444479
1,"team1","2023-02-01",1.30516007380475
1,"team1","2023-03-01",1.30495498002805
1,"team1","2023-04-01",1.3529757639704
1,"team1","2023-05-01",1.37447407106594
1,"team1","2023-06-01",1.37674761939251
1,"team1","2023-07-01",1.39316037922071
1,"team1","2023-08-01",1.38261338611881
1,"team1","2023-09-01",1.33131759233158
1,"team1","2023-10-01",1.29939422742295
1,"team1","2023-11-01",1.30723362587459
1,"team1","2023-12-01",1.32834060174094
1,"team1","2024-01-01",1.27918548474383
1,"team1","2024-02-01",1.31527107177285
1,"team1","2024-03-01",1.34947277313353
1,"team1","2024-04-01",1.36465743650237
1,"team1","2024-05-01",1.37369185007061
1,"team1","2024-06-01",1.41788841510139
1,"team1","2024-07-01",1.49049191702926
1,"team1","2024-08-01",1.5207785293704
1,"team1","2024-09-01",1.55834898287941
1,"team1","2024-10-01",1.58886007145427
1,"team1","2024-11-01",1.67718150862769
1,"team1","2024-12-01",1.63213529528183
1,"team1","2025-01-01",1.64965889541872
1,"team1","2025-02-01",1.65089349120746
1,"team1","2025-03-01",1.71480046444341
1,"team1","2025-04-01",1.7314926851998
1,"team1","2025-05-01",1.78618515910163
1,"team1","2025-06-01",1.84189109473947
1,"team1","2025-07-01",1.82842214337469
1,"team1","2025-08-01",1.70567401707375
1,"team1","2025-09-01",1.68529041509402
1,"team1","2025-10-01",1.68871189284259
1,"team1","2025-11-01",1.56494418934192
1,"team1","2025-12-01",1.42969788289493
1,"team10","2021-01-01",1
1,"team10","2021-02-01",0.999509459470835
1,"team10","2021-03-01",1.01069458052609
1,"team10","2021-04-01",1.01472039014419
1,"team10","2021-05-01",0.999937169509635
1,"team10","2021-06-01",0.999482710886859
1,"team10","2021-07-01",1.01426314753127
1,"team10","2021-08-01",1.03364369669085
1,"team10","2021-09-01",1.05091445270704
1,"team10","2021-10-01",1.08714586480606
1,"team10","2021-11-01",1.09041899340899
1,"team10","2021-12-01",1.08146335963037
1,"team10","2022-01-01",1.08454958570751
1,"team10","2022-02-01",1.09860989637848
1,"team10","2022-03-01",1.12993566057506
1,"team10","2022-04-01",1.12317050745618
1,"team10","2022-05-01",1.11168850838969
1,"team10","2022-06-01",1.14632819021829
1,"team10","2022-07-01",1.16119642306733
1,"team10","2022-08-01",1.19590859074841
1,"team10","2022-09-01",1.22262469318011
1,"team10","2022-10-01",1.22770525576276
1,"team10","2022-11-01",1.2304717787825
1,"team10","2022-12-01",1.27015772967134
1,"team10","2023-01-01",1.32432813638425
1,"team10","2023-02-01",1.31404505614381
1,"team10","2023-03-01",1.31889231007242
1,"team10","2023-04-01",1.38963964101211
1,"team10","2023-05-01",1.43900447954469
1,"team10","2023-06-01",1.36711094880272
1,"team10","2023-07-01",1.40786732851225
1,"team10","2023-08-01",1.41013282736709
1,"team10","2023-09-01",1.36781378007956
1,"team10","2023-10-01",1.34542228744801
1,"team10","2023-11-01",1.3823435220481
1,"team10","2023-12-01",1.39587692864934
1,"team10","2024-01-01",1.37061394067526
1,"team10","2024-02-01",1.41700960356271
1,"team10","2024-03-01",1.41499087740297
1,"team10","2024-04-01",1.45309144575044
1,"team10","2024-05-01",1.45367195757699
1,"team10","2024-06-01",1.47148613370085
1,"team10","2024-07-01",1.51633546894411
1,"team10","2024-08-01",1.50139577704031
1,"team10","2024-09-01",1.56590271114155
1,"team10","2024-10-01",1.63015459201341
1,"team10","2024-11-01",1.68800916445701
1,"team10","2024-12-01",1.67370697271448
1,"team10","2025-01-01",1.72014607408697
1,"team10","2025-02-01",1.74775326064138
1,"team10","2025-03-01",1.80504826597739
1,"team10","2025-04-01",1.7933171025963
1,"team10","2025-05-01",1.81794042774438
1,"team10","2025-06-01",1.82797541938656
1,"team10","2025-07-01",1.83910511801493
1,"team10","2025-08-01",1.71374810439511
1,"team10","2025-09-01",1.65592943774346
1,"team10","2025-10-01",1.53934676282468
1,"team10","2025-11-01",1.42304877928008
1,"team10","2025-12-01",1.42020792940763
1,"team11","2021-01-01",1
1,"team11","2021-02-01",1.00876484374896
1,"team11","2021-03-01",1.02562371174374
1,"team11","2021-04-01",1.02930894509467
1,"team11","2021-05-01",1.01503463924181
1,"team11","2021-06-01",1.0031330177294
1,"team11","2021-07-01",1.01878520314376
1,"team11","2021-08-01",1.05239815019268
1,"team11","2021-09-01",1.08118757002907
1,"team11","2021-10-01",1.13148300460881
1,"team11","2021-11-01",1.11644285717414
1,"team11","2021-12-01",1.09369871726402
1,"team11","2022-01-01",1.12051072800659
1,"team11","2022-02-01",1.14930117006111
1,"team11","2022-03-01",1.19115942666969
1,"team11","2022-04-01",1.17651306326572
1,"team11","2022-05-01",1.15950319724398
1,"team11","2022-06-01",1.21891533458383
1,"team11","2022-07-01",1.25022212574391
1,"team11","2022-08-01",1.30003175896845
1,"team11","2022-09-01",1.32664932100757
1,"team11","2022-10-01",1.31219249456235
1,"team11","2022-11-01",1.30962360673528
1,"team11","2022-12-01",1.3488115719872
1,"team11","2023-01-01",1.4072213691773
1,"team11","2023-02-01",1.37824234715606
1,"team11","2023-03-01",1.3828973573531
1,"team11","2023-04-01",1.4531240981875
1,"team11","2023-05-01",1.47115040578969
1,"team11","2023-06-01",1.41871053979077
1,"team11","2023-07-01",1.45656191313416
1,"team11","2023-08-01",1.46368903745225
1,"team11","2023-09-01",1.41861458007782
1,"team11","2023-10-01",1.39181348852453
1,"team11","2023-11-01",1.42007352821659
1,"team11","2023-12-01",1.44419108985402
1,"team11","2024-01-01",1.39104124740932
1,"team11","2024-02-01",1.44257436187867
1,"team11","2024-03-01",1.44599331978671
1,"team11","2024-04-01",1.49552601895314
1,"team11","2024-05-01",1.51818649603483
1,"team11","2024-06-01",1.56721305049162
1,"team11","2024-07-01",1.64910140791436
1,"team11","2024-08-01",1.61574811113546
1,"team11","2024-09-01",1.69285407554305
1,"team11","2024-10-01",1.77145866621018
1,"team11","2024-11-01",1.81713555199148
1,"team11","2024-12-01",1.79547357005309
1,"team11","2025-01-01",1.77949005262061
1,"team11","2025-02-01",1.78767794358275
1,"team11","2025-03-01",1.84804787949655
1,"team11","2025-04-01",1.90612568285217
1,"team11","2025-05-01",1.98795397248919
1,"team11","2025-06-01",2.00500431828578
1,"team11","2025-07-01",1.96352986127628
1,"team11","2025-08-01",1.83789536646552
1,"team11","2025-09-01",1.7405210809762
1,"team11","2025-10-01",1.50224933806511
1,"team11","2025-11-01",1.34061515304847
1,"team11","2025-12-01",1.29349383344361
1,"team2","2021-01-01",1
1,"team2","2021-02-01",1.01179464107119
1,"team2","2021-03-01",1.03303706547058
1,"team2","2021-04-01",1.03566490176987
1,"team2","2021-05-01",1.0374726578455
1,"team2","2021-06-01",1.01656414177937
1,"team2","2021-07-01",1.03137165175685
1,"team2","2021-08-01",1.07123315395026
1,"team2","2021-09-01",1.09391287867249
1,"team2","2021-10-01",1.15381813721658
1,"team2","2021-11-01",1.12837899820184
1,"team2","2021-12-01",1.09629413351842
1,"team2","2022-01-01",1.13363578354078
1,"team2","2022-02-01",1.16012138124809
1,"team2","2022-03-01",1.21451019032272
1,"team2","2022-04-01",1.19957880832092
1,"team2","2022-05-01",1.17786670226383
1,"team2","2022-06-01",1.23935865454021
1,"team2","2022-07-01",1.27657083393233
1,"team2","2022-08-01",1.33847231090395
1,"team2","2022-09-01",1.36066567508569
1,"team2","2022-10-01",1.34396249077905
1,"team2","2022-11-01",1.3304394940256
1,"team2","2022-12-01",1.36204762031214
1,"team2","2023-01-01",1.42271142197264
1,"team2","2023-02-01",1.38849631180896
1,"team2","2023-03-01",1.39457658442165
1,"team2","2023-04-01",1.46505367629648
1,"team2","2023-05-01",1.47702621260157
1,"team2","2023-06-01",1.44680478719662
1,"team2","2023-07-01",1.47654434401563
1,"team2","2023-08-01",1.4766141690485
1,"team2","2023-09-01",1.42292865019955
1,"team2","2023-10-01",1.39327220604286
1,"team2","2023-11-01",1.41131049363559
1,"team2","2023-12-01",1.44119490928977
1,"team2","2024-01-01",1.37903702748159
1,"team2","2024-02-01",1.43069358597847
1,"team2","2024-03-01",1.44470069572043
1,"team2","2024-04-01",1.49265615383972
1,"team2","2024-05-01",1.52218831194928
1,"team2","2024-06-01",1.58709653192673
1,"team2","2024-07-01",1.68186359425153
1,"team2","2024-08-01",1.66051903730427
1,"team2","2024-09-01",1.73050256847783
1,"team2","2024-10-01",1.8010630606653
1,"team2","2024-11-01",1.85546761587722
1,"team2","2024-12-01",1.81906094736686
1,"team2","2025-01-01",1.78484649818506
1,"team2","2025-02-01",1.78431761371904
1,"team2","2025-03-01",1.84704272187255
1,"team2","2025-04-01",1.91808358335335
1,"team2","2025-05-01",2.01818490987677
1,"team2","2025-06-01",2.05383492783736
1,"team2","2025-07-01",1.99604642045858
1,"team2","2025-08-01",1.85955987969757
1,"team2","2025-09-01",1.76681569112365
1,"team2","2025-10-01",1.55985520673332
1,"team2","2025-11-01",1.37579645230978
1,"team2","2025-12-01",1.24386226610011
1,"team3","2021-01-01",1
1,"team3","2021-02-01",0.9962833239558
1,"team3","2021-03-01",1.0325939535828
1,"team3","2021-04-01",1.00956621404387
1,"team3","2021-05-01",1.04381971171979
1,"team3","2021-06-01",1.01111363060514
