"","returns","lead_returns","ENV_NLP","SOC_NLP","GOV_NLP","ENV_Survey","SOC_Survey","GOV_Survey","Credit_Rating","Size"
"789",0.0128446529171177,0.00743939925501858,0.0714285714285714,0.0928571428571429,0.0384615384615385,50,41,108,21.3190476190476,2036968
"790",0.00743939925501858,-0.00203030505734728,0.0555555555555556,0.154761904761905,0,50,41,108,21.3190476190476,1649657
"791",-0.00203030505734728,0.00773159943609099,0,0.0540540540540541,0,50,41,108,21.3190476190476,1803865
"792",0.00773159943609099,0.00647222089812893,0.0695652173913043,0.0555555555555556,0,50,41,108,21.4892857142857,1739313
"793",0.00647222089812893,-0.00196029811473769,0,0.0897435897435897,0.142857142857143,50,41,108,21.4892857142857,1705244
"794",-0.00196029811473769,0.00913458162701847,0,0.0188679245283019,0,50,41,108,21.4892857142857,1617382
"795",0.00913458162701847,0.00661978113983774,0,0.0625,0.0869565217391304,50,41,108,21.4892857142857,1420140
"796",0.00661978113983774,0.00515907565155812,0.464285714285714,0.435483870967742,0.470588235294118,50,41,108,21.4892857142857,1368140
"797",0.00515907565155812,0.0076746977424727,0.222222222222222,0.139175257731959,0.275,50,41,108,21.8071428571429,1185243
"798",0.0076746977424727,0.00243525909039,0.222222222222222,0.170940170940171,0.5,50,41,108,21.8071428571429,1267726
"799",0.00243525909039,-0.00110152066115479,0.115384615384615,0.0775193798449612,0.0434782608695652,155.5,82,107,21.8071428571429,1368140
"800",-0.00110152066115479,0.00580211435836303,0.222222222222222,0.159574468085106,0.0666666666666667,155.5,82,107,21.8071428571429,914484
"801",0.00580211435836303,0.00275571830664141,0.128205128205128,0.253968253968254,0.25,155.5,82,107,21.8457142857143,934208
"802",0.00275571830664141,0.000204279843294031,0.318181818181818,0.205479452054795,0.183673469387755,155.5,82,107,21.8457142857143,1027450
"803",0.000204279843294031,0.00908677368760196,0.333333333333333,0.301587301587302,0.214285714285714,155.5,82,107,21.8457142857143,1063312
"804",0.00908677368760196,0.00731445865567863,0.0731707317073171,0.08,0.454545454545455,155.5,82,107,21.8457142857143,1199588
"805",0.00731445865567863,-0.00360132280851093,0.194444444444444,0.0875912408759124,0.313725490196078,155.5,82,107,21.8457142857143,1144002
"806",-0.00360132280851093,0.00263221338255839,0.166666666666667,0.0619469026548673,0.166666666666667,155.5,82,107,21.8457142857143,1081243
"807",0.00263221338255839,-0.000726597484096803,0.131147540983607,0.143712574850299,0.0769230769230769,155.5,82,107,21.8457142857143,1199588
"808",-0.000726597484096803,-0.000468827508042469,0.0666666666666667,0.0444444444444444,0.5,155.5,82,107,21.8457142857143,1115312
"809",-0.000468827508042469,0.00642671598161764,0,0.0652173913043478,0,155.5,82,107,21.8457142857143,1136829
"810",0.00642671598161764,0.00454004707082039,0.447368421052632,0.165644171779141,0.0714285714285714,155.5,82,107,21.8457142857143,1065105
"811",0.00454004707082039,-0.000885095818528109,0.338461538461538,0.288288288288288,0.257142857142857,162.6,105,101,21.8457142857143,1090208
"812",-0.000885095818528109,0.00301362943231187,0.3,0.2,0.236842105263158,162.6,105,101,21.925,995174
"813",0.00301362943231187,0.00501347029699672,0.541666666666667,0.5,0.32258064516129,162.6,105,101,21.925,971863
"814",0.00501347029699672,-0.0013436169028693,0,0.19047619047619,0.294117647058824,162.6,105,101,21.925,928829
"815",-0.0013436169028693,0.00683128194623256,0,0.266666666666667,0.411764705882353,162.6,105,101,21.925,848139
"816",0.00683128194623256,0.00370078253646944,0.130841121495327,0.109090909090909,0.208333333333333,162.6,105,101,21.925,862484
"817",0.00370078253646944,-0.000361945249712003,0.0384615384615385,0.0260869565217391,0.0886075949367089,162.6,105,101,21.925,977243
"818",-0.000361945249712003,0.00699534567193079,0.0202702702702703,0.0355029585798817,0.024390243902439,162.6,105,101,22,998760
"819",0.00699534567193079,0.00429908570129382,0,0.037037037037037,0.5,162.6,105,101,22,1013105
"820",0.00429908570129382,0.00218588138742441,0.106060606060606,0.119565217391304,0.132450331125828,162.6,105,101,22,1161933
"821",0.00218588138742441,0.00572920011651701,0.166666666666667,0.132420091324201,0,162.6,105,101,22,1289243
"822",0.00572920011651701,0.00546263757871264,0.113513513513514,0.101111111111111,0.0756756756756757,162.6,105,101,22,1283864
"823",0.00546263757871264,0.00119804791237591,0.135593220338983,0.208955223880597,0.102272727272727,158,108,118,22,1355588
"824",0.00119804791237591,0.00614541095593661,0.0826446280991736,0.0783783783783784,0.22680412371134,158,108,118,22,1145795
"825",0.00614541095593661,0.00297816872259451,0.208333333333333,0.211640211640212,0.220338983050847,158,108,118,22,1190622
"826",0.00297816872259451,0.0040409152928042,0.125698324022346,0.149753694581281,0.164335664335664,158,108,118,22,1000553
"827",0.0040409152928042,0.00454871175570615,0.3875,0.208333333333333,0.263157894736842,158,108,118,22,1142208
"828",0.00454871175570615,0.0101166418608944,0.25974025974026,0.225,0.130434782608696,158,108,118,22,1244416
"829",0.0101166418608944,-0.00390148981154198,0.0490196078431373,0.173643410852713,0.166394779771615,158,108,118,22,1196002
"830",-0.00390148981154198,0.00465683189191496,0.204081632653061,0.287878787878788,0.135135135135135,158,108,118,22,1316140
"831",0.00465683189191496,0.00443238193793527,0.111111111111111,0.0588235294117647,0.16,158,108,118,22,1515175
"832",0.00443238193793527,-0.000704771283334349,0.272727272727273,0.227488151658768,0.176470588235294,158,108,118,22,1561795
"833",-0.000704771283334349,0.00543849447997635,0.253731343283582,0.160493827160494,0.1,158,108,118,22,1187036
"835",-0.00848527322200798,0.0124231082385222,0.153846153846154,0.168618266978923,0.116071428571429,54.5,30,116,18.9130434782609,585137
"836",0.0124231082385222,0.0124765411289605,0.0652173913043478,0.0623229461756374,0.0928571428571429,54.5,30,116,18.9130434782609,623693
"838",0.00541500803081159,-0.000230360268578848,0.165981198589894,0.243528132730395,0.324869682192702,16.5,44,97,21.1904761904762,436074
"839",-0.000230360268578848,0.0103566329954635,0.131816281431046,0.191771682727947,0.265731392345621,16.5,44,97,21.1904761904762,492916
"840",0.0103566329954635,0.00749294356196528,0.121232050860463,0.168804676160213,0.240295431123325,16.5,44,97,21.1904761904762,442877
"841",0.00749294356196528,0.000890038110226995,0.145111075932668,0.168408375255611,0.21720297029703,16.5,44,97,21.1904761904762,562662
"842",0.000890038110226995,0.0050836555561761,0.202615251184202,0.227549414271984,0.288392476717999,16.5,44,97,21.3071428571429,515620
