X_V_round,shortfall_std,shortfall_std2,log_shortfall_std,log_shortfall_std2,log_X_V_round
0.141,1.0992093574,1.097139732,0.0945911554,0.0927065496,-1.958995389
0.142,1.0585625079,0.8853576252,0.0569118631,-0.121763619,-1.951928221
0.143,1.1275944604,0.9668113484,0.1200865675,-0.033751892,-1.944910649
0.144,1.0601807505,0.8614588579,0.058439413,-0.149127981,-1.937941979
0.145,1.2475121939,1.0894391581,0.2211513233,0.0856630299,-1.931021537
0.146,1.2958946805,0.9537564722,0.2592013296,-0.04734691,-1.924148657
0.147,1.2079607199,0.9548260838,0.1889335823,-0.046226066,-1.917322692
0.148,1.1810286318,1.3611062178,0.1663857806,0.3082977645,-1.910543005
0.149,1.1205468657,1.0051572838,0.1138168391,0.0051440306,-1.903808973
0.15,1.0966480399,1.0860465078,0.092258291,0.0825440455,-1.897119985
0.151,1.2090647685,1.1342373866,0.1898471421,0.125960519,-1.890475442
0.152,1.0577642804,1.3322056906,0.0561575113,0.2868359825,-1.883874758
0.153,1.1212749896,1.1295019735,0.1144664214,0.1217768041,-1.877317358
0.154,1.01506342,0.8653580142,0.0149510933,-0.144611968,-1.870802677
0.155,1.2388664561,1.4964315275,0.2141968132,0.4030832922,-1.864330162
0.156,1.0847030293,0.7808964507,0.0813062438,-0.247312723,-1.857899272
0.157,1.0282660351,0.726800691,0.0278739225,-0.319102992,-1.851509474
0.158,1.2147563873,1.1185009329,0.1945435524,0.111989336,-1.845160246
0.159,1.135816391,1.0765695262,0.1273516796,0.0737796211,-1.838851077
0.16,1.188657854,0.8158409829,0.1728248168,-0.203535817,-1.832581464
0.161,1.0999916224,0.7609950139,0.0953025637,-0.273128473,-1.826350914
0.162,1.253853545,0.8029519902,0.2262216451,-0.219460355,-1.820158944
0.163,1.1779172038,0.9076836008,0.1637477973,-0.096859418,-1.814005078
0.164,1.136769797,0.8641687025,0.128190729,-0.145987272,-1.807888851
0.165,1.1068409944,0.9522851058,0.1015100069,-0.048890808,-1.801809805
0.166,1.1731035218,1.2126623328,0.1596528197,0.1928182176,-1.795767491
0.167,1.0659187966,0.9622497026,0.0638371471,-0.038481296,-1.789761467
0.168,1.2757400033,1.5508692143,0.243526405,0.4388155572,-1.7837913
0.169,1.1794975805,1.1027288464,0.1650885686,0.0977878772,-1.777856564
0.17,1.268410042,1.1740943271,0.2377641807,0.1604970649,-1.771956842
0.171,1.1280178414,0.8338817655,0.1204619698,-0.181663655,-1.766091722
0.172,1.08958367,0.8874381988,0.0857956692,-0.119416395,-1.760260802
0.173,1.2087162255,0.7994776501,0.1895588257,-0.223796702,-1.754463684
